47.203161,-95.253724,Chrysemys picta,Painted Turtle,Reptilia,"Clearwater, Minnesota, United States",riversedge
45.438991,-95.284629,Thamnophis sirtalis parietalis,Red-sided Garter Snake,Reptilia,"56334, Glenwood, MN, US",sharingsharon
47.8009887899,-92.3304934088,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"St. Louis County, US-MN, US",tortuga_rapido
47.9877534667,-92.2582251179,Thamnophis sirtalis,Common Garter Snake,Reptilia,"St. Louis County, US-MN, US",tortuga_rapido
45.276956,-92.800574,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Scandia, Minnesota, USA",happymoose
46.864584,-96.462283,Thamnophis sirtalis sirtalis,Eastern Garter Snake,Reptilia,Buffalo River state Park,danteal56
44.9533515031,-93.3207020094,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Minneapolis Chain of Lakes PK, Minneapolis, MN, US",hwt
47.0937631781,-95.5290712959,Thamnophis sirtalis,Common Garter Snake,Reptilia,"56575, Round Lake, MN, US",gonodactylus
45.7951475218,-94.7348070145,Chrysemys picta,Painted Turtle,Reptilia,"Todd County, MN, USA",gonodactylus
44.9730403914,-93.328500688,Thamnophis sirtalis,Common Garter Snake,Reptilia,"Calhoun Isles, Minneapolis, MN, USA",gonodactylus
47.228084,-95.194986,Chelydra serpentina,Common Snapping Turtle,Reptilia,Itasca State Park,liren
46.6185433,-93.4536692,Thamnophis sirtalis,Common Garter Snake,Reptilia,"Aitkin County, MN, USA",dodgeman
46.6185433,-93.4536692,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Aitkin County, MN, USA",dodgeman
44.2092517782,-91.9455996214,Storeria dekayi,DeKay's Brownsnake,Reptilia,"Wabasha County, MN, USA",gordon_dietzman
46.7993460622,-96.1211013845,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Becker County, MN, USA",sgoodchild
46.7993460622,-96.1211013845,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"Becker County, MN, USA",sgoodchild
44.917637,-93.124183,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"Lilydale, MN, USA",gamelaner
44.8817213652,-93.1262359768,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Mendota Heights, MN, USA",gamelaner
46.5324436028,-94.2892898077,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"Nisswa, MN 56468, USA",oviscanadensis_connerties
46.45851,-94.3313789,Chrysemys picta,Painted Turtle,Reptilia,"Gull Lake, Minnesota, USA",mfeaver
45.3917251769,-93.2242333846,Pituophis catenifer sayi,Bullsnake,Reptilia,"Minnesota, US",jenniferf4
45.2313725242,-93.3295861036,Pituophis catenifer sayi,Bullsnake,Reptilia,"Minnesota, US",jenniferf4
45.215392,-93.275948,Chrysemys picta,Painted Turtle,Reptilia,"45.215392, -93.275948",jenniferf4
44.7774333519,-93.1213730125,Thamnophis sirtalis sirtalis,Eastern Garter Snake,Reptilia,"Lebanon Hills Regional Park, Eagan, MN, USA",goldygopher75
